,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,logq
WBGene00185089,1048.71299495638,0.12179594403899,0.060502648276169,2.01306798147153,0.0441074780774042,0.0645530650607548,C16A11.10,1.19008313205953
WBGene00000526,180.329972103371,-0.298644836524849,0.148356515361987,-2.01302137486959,0.0441123807300409,0.0645539723052336,clc-5,1.19007702842213
WBGene00077568,499.74161617046,0.176607468443213,0.0877481970691356,2.01266207559874,0.0441501916679379,0.0646030326192435,C56A3.10,1.1897470947156
WBGene00185055,58.775287734433,-0.473759490502682,0.23552793078062,-2.01147901623592,0.0442748845694913,0.064779201622592,Y47D3B.12,1.18856440879635
WBGene00008606,460.673458775979,0.187343621218463,0.0932052565068175,2.01001132596808,0.0444299901495395,0.0649998293238871,dhhc-1,1.18708778372316
WBGene00016544,170.851444629633,-0.296025445914216,0.147354188396451,-2.00893811798393,0.0445436968149834,0.0651598546285175,math-18,1.18601989327242
WBGene00018871,70.1289318084605,-0.438914463899375,0.218494147932342,-2.00881565045526,0.0445566878746652,0.0651725333658252,F55C12.4,1.1859353969204
WBGene00019003,3726.85757114255,0.0775390388225825,0.0386133594302903,2.00808839133942,0.0446338996353614,0.0652791353778189,F57B10.5,1.18522560644673
WBGene00003675,132.71025436618,-0.331886918969572,0.165282921537465,-2.00799281548483,0.0446440551344122,0.065281979608764,nhr-85,1.18520668452186
WBGene00077699,65.1338752921192,-0.490879692470559,0.244463389977185,-2.00798856841661,0.0446445064557248,0.065281979608764,C45B11.8,1.18520668452186
WBGene00021894,173.759045681908,-0.282953606454789,0.140917611106477,-2.00793644054177,0.0446500462189979,0.0652837468870846,Y54G2A.32,1.18519492769649
WBGene00006062,485.605426888995,-0.171264775074952,0.0853025784450254,-2.00773268753332,0.0446717051384117,0.0653090796848962,stn-1,1.18502643613799
WBGene00016998,84.4807474506619,-0.426894531972233,0.212644110878576,-2.00755398401791,0.0446907085945304,0.0653305257148052,D1005.4,1.184883847028
WBGene00020632,253.925848101087,-0.238756425241845,0.118983114493049,-2.00664124703,0.0447878760755305,0.0654662195584242,T20F7.5,1.18398273731719
WBGene00015497,628.828757455838,-0.154138380834689,0.0768286928317997,-2.00626061896097,0.0448284493138235,0.0655191715802639,nhr-76,1.1836316024014
WBGene00004930,10893.6504419343,0.0546738812373389,0.0272561180991101,2.00593059651895,0.0448636533072455,0.065564266656982,sod-1,1.18333279205563
WBGene00303019,1915.67561145386,0.0962817566126785,0.0480206287873804,2.00500824424817,0.0449621656827025,0.0657018636292172,Y70G10A.4,1.18242231152992
WBGene00003734,33.6342277283604,-0.667094843418556,0.332770374944963,-2.0046701679165,0.0449983197785603,0.0657483204752074,nhx-6,1.18211533664301
